file,start_time,end_time,bottom_frequency,top_frequency,riroriro,kea
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,32,42,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,131,141,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,157,167,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,200,210,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,249,259,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,290,300,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,326,336,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,380,390,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,409,419,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,436,446,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,471,481,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,499,509,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,528,538,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,569,579,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,601,611,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,628,638,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,672,682,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,776,786,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,801,811,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,834,844,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,32,42,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,131,141,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,157,167,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,200,210,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,249,259,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,290,300,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,326,336,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,380,390,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,409,419,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,436,446,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,471,481,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,499,509,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,528,538,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,569,579,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,601,611,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,628,638,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,672,682,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,776,786,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,801,811,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,834,844,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,32,42,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,131,141,2200,5800,1.0,0.0
/content/drive/MyDrive/NZ Localization/Recordings/Cut13.wav,157,167,2200,5800,1.0,0.0
